Date,Open,High,Low,Close,Volume
2024-04-19,83.15,84.324,75.606,76.2,875198000.0
2024-04-22,78.104,80.072998,76.4,79.518,596341000.0
2024-04-23,80.769,82.769,80.264,82.423,438559000.0
2024-04-24,83.95,84.082001,79.183,79.677,512208000.0
2024-04-25,78.868,83.323,78.223,82.632,424641000.0
2024-04-26,83.818,88.331,83.387,87.735,551011000.0
2024-04-29,87.595,87.992,85.266,87.757,388971000.0
2024-04-30,87.24,88.819,86.3,86.402,363709000.0
2024-05-01,85.077003,86.0,81.255,83.041,559863000.0
2024-05-02,84.449,86.237,83.2,85.817,377898000.0
2024-05-03,87.789,89.281,87.040001,88.789,398341000.0
2024-05-06,89.39,92.22,89.055,92.14,376203000.0
2024-05-07,91.098,91.781,89.011002,90.554,437342000.0
2024-05-08,89.483,91.194,89.42,90.412,325721000.0
2024-05-09,90.529,91.071999,88.231,88.747,378013000.0
2024-05-10,90.305,91.401,89.227,89.878,335325000.0
2024-05-13,90.478,90.998,88.529,90.399,289680000.0
2024-05-14,89.599,91.651,88.934,91.356,296507000.0
2024-05-15,92.472,94.862,91.599,94.63,417735000.0
2024-05-16,94.91,95.819,94.103,94.359,323952000.0
2024-05-17,94.369,94.74,91.806,92.479,359691000.0
2024-05-20,93.75,95.2,93.44,94.78,318764000.0
2024-05-21,93.599,95.4,93.18,95.386,328946000.0
2024-05-22,95.459,96.019997,93.249,94.95,548648000.0
2024-05-23,102.028,106.32,101.52,103.799,835065000.0
2024-05-24,104.449,106.475,103.0,106.469,429494000.0
2024-05-28,110.244,114.939,109.883,113.901,652728000.0
2024-05-29,113.050003,115.492,110.901,114.825,557442000.0
2024-05-30,114.65,115.819,109.663,110.5,487350000.0
2024-05-31,112.52,112.717,106.94,109.633,613263000.0
2024-06-03,113.621,115.0,112.0029984,115.0,438392000.0
2024-06-04,115.716,116.6,114.044998,116.437,403324000.0
2024-06-05,118.371,122.449,117.468,122.44,528402000.0
2024-06-06,124.047997,125.587,118.32,120.998,664696000.0
2024-06-07,119.77,121.692,118.022003,120.888,412386000.0
2024-06-10,120.37,123.099998,117.010002,121.79,314162700.0
2024-06-11,121.77,122.87,118.74,120.91,222551200.0
2024-06-12,123.059998,126.88,122.57,125.2,299595000.0
2024-06-13,129.39,129.8,127.16,129.61,260704500.0
2024-06-14,129.96001,132.84,128.32001,131.88,309320400.0
2024-06-17,132.99001,133.73,129.58,130.98,288504400.0
2024-06-18,131.14,136.33,130.69,135.58,294335100.0
2024-06-20,139.8,140.75999,129.52,130.78,517768400.0
2024-06-21,127.12,130.63,124.3,126.57,655484700.0
2024-06-24,123.24,124.46,118.040001,118.11,476060900.0
2024-06-25,121.2,126.5,119.32,126.089996,425787500.0
2024-06-26,126.13,128.12,122.6,126.4,362975900.0
2024-06-27,124.099998,126.41,122.92,123.99,252571700.0
2024-06-28,124.58,127.71,122.75,123.54,315516700.0
2024-07-01,123.47,124.84,118.83,124.3,284885500.0
2024-07-02,121.13,123.41,121.029999,122.67,218374000.0
2024-07-03,121.66,128.28,121.36,128.28,215749000.0
2024-07-05,127.38,128.85001,125.68,125.83,214176700.0
2024-07-08,127.49,130.77,127.040001,128.2,237677300.0
2024-07-09,130.35001,133.82001,128.64999,131.38,285366600.0
2024-07-10,134.029999,135.10001,132.42,134.91,248978600.0
2024-07-11,135.75,136.14999,127.050003,127.4,374782700.0
2024-07-12,128.25999,131.92,127.22,129.24001,252680500.0
2024-07-15,130.56,131.39,127.18,128.44,208326200.0
2024-07-16,128.44,129.039993,124.58,126.36,214769500.0
2024-07-17,121.35,121.85,116.72,117.99,390086200.0
2024-07-18,121.85,122.4,116.56,121.089996,320979500.0
2024-07-19,120.35,121.6,117.37,117.93,217223800.0
2024-07-22,120.35,124.07,119.86,123.54,258068900.0
2024-07-23,122.78,124.69,122.099998,122.59,173911000.0
2024-07-24,119.17,119.95,113.44,114.25,327776900.0
2024-07-25,113.040001,116.63,106.3,112.28,460067000.0
2024-07-26,116.19,116.2,111.58,113.059998,293399100.0
2024-07-29,113.69,116.28,111.3,111.59,248152100.0
2024-07-30,111.52,111.99,102.54,103.73,486833300.0
2024-07-31,112.9,118.34,110.88,117.019997,473174200.0
2024-08-01,117.53,120.16,106.81,109.21,523462300.0
2024-08-02,103.76,108.72,101.37,107.27,482027500.0
2024-08-05,92.059998,103.41,90.69,100.45,552842400.0
2024-08-06,103.84,107.71,100.55,104.25,409012100.0
2024-08-07,107.81,108.8,98.69,98.91,411440400.0
2024-08-08,102.0,105.5,97.52,104.97,391910000.0
2024-08-09,105.64,106.6,103.43,104.75,290844200.0
2024-08-12,106.32,111.07,106.26,109.019997,325559900.0
2024-08-13,112.44,116.23,111.58,116.14,312646700.0
2024-08-14,118.53,118.6,114.07,118.080002,339246400.0
2024-08-15,118.76,123.24,117.47,122.86,318086700.0
2024-08-16,121.94,125.0,121.18,124.58,302589900.0
2024-08-19,124.28,130.0,123.42,130.0,318333600.0
2024-08-20,128.39999,129.88,125.89,127.25,300087400.0
2024-08-21,127.32,129.35001,126.66,128.5,257883600.0
2024-08-22,130.020004,130.75,123.099998,123.74,376189100.0
2024-08-23,125.86,129.60001,125.22,129.37,323230300.0
2024-08-26,129.57001,131.25999,124.37,126.46,331964700.0
2024-08-27,125.050003,129.2,123.88,128.3,303134600.0
2024-08-28,128.12,128.33,122.64,125.61,448101100.0
2024-08-29,121.36,124.43,116.71,117.59,453023300.0
2024-08-30,119.53,121.75,117.22,119.37,333751600.0
2024-09-03,116.010002,116.21,107.29,108.0,477155100.0
2024-09-04,105.41,113.27,104.12,106.21,372470300.0
2024-09-05,104.99,109.65,104.76,107.21,306850700.0
2024-09-06,108.040001,108.15,100.95,102.83,413638100.0
2024-09-09,104.88,106.55,103.69,106.47,273912000.0
2024-09-10,107.81,109.4,104.95,108.099998,268283700.0
2024-09-11,109.39,117.19,107.42,116.91,441422400.0
2024-09-12,116.84,120.79,115.38,119.14,367100500.0
2024-09-13,119.080002,119.96,117.6,119.099998,238358300.0
2024-09-16,116.79,118.18,114.36,116.78,248772300.0
2024-09-17,118.17,118.8,114.83,115.59,231925900.0
2024-09-18,115.89,117.7,113.22,113.37,310318900.0
2024-09-19,117.35,119.66,117.25,117.87,293506400.0
2024-09-20,117.059998,118.62,115.39,116.0,382462400.0
2024-09-23,116.55,116.99,114.86,116.26,206228500.0
